,date,count,tavg,tmin,tmax,prcp,wdir,wspd,pres
151,2019-07-03,56,65.1,55.9,78.1,0.0,289.9090909090909,8.0,1013.2
152,2019-07-04,1,64.9,55.9,77.0,0.0,282.72727272727275,7.6,1013.6
153,2019-07-05,2,65.7,55.0,80.1,0.0,275.54545454545456,7.1,1015.6
154,2019-07-06,32,66.2,55.0,81.0,0.0,268.3636363636364,6.6,1015.3
155,2019-07-07,119,64.4,55.9,75.9,0.0,261.1818181818182,7.5,1013.7
156,2019-07-08,18,63.0,57.0,72.0,0.0,254.0,9.1,1015.9
157,2019-07-09,4,65.5,60.0,74.5,0.0,246.8181818181818,8.566666666666666,1017.2
158,2019-07-10,94,68.0,63.0,77.0,0.0,239.63636363636363,8.033333333333333,1018.5
159,2019-07-11,105,68.5,61.0,79.0,0.0,232.45454545454544,7.5,1017.3
160,2019-07-12,323,67.1,59.0,80.1,0.0,225.27272727272728,6.8,1013.6
161,2019-07-13,67,66.4,57.9,77.0,0.0,218.0909090909091,6.9,1012.4
162,2019-07-14,136,68.2,59.0,78.1,0.0,210.9090909090909,6.3,1015.4
163,2019-07-15,195,71.6,62.1,84.9,0.0,203.72727272727272,7.6,1015.7
164,2019-07-16,77,70.2,60.1,82.9,0.0,196.54545454545456,6.9,1013.1
165,2019-07-17,60,69.6,57.9,84.9,0.0,189.3636363636364,9.4,1012.1
166,2019-07-18,54,69.69999999999999,58.45,83.9,0.0,182.1818181818182,10.25,1011.85
167,2019-07-19,175,69.8,59.0,82.9,0.0,175.0,11.1,1011.6
168,2019-07-20,108,67.3,60.1,78.1,0.0,175.21428571428572,8.5,1012.7
169,2019-07-21,89,69.1,59.0,82.0,0.0,175.42857142857142,7.5,1012.8
170,2019-07-22,14,72.3,62.1,86.0,0.0,175.64285714285714,6.4,1013.8
171,2019-07-23,31,70.2,61.0,80.1,0.0,175.85714285714286,7.4,1015.8
172,2019-07-24,182,75.4,62.1,91.9,0.0,176.07142857142858,6.6,1014.4
173,2019-07-25,73,73.8,64.0,84.9,0.0,176.28571428571428,7.1,1013.0
174,2019-07-26,131,68.9,60.1,81.0,0.0,176.5,7.4,1015.8
175,2019-07-27,40,73.4,59.0,89.1,0.0,176.71428571428572,5.5,1015.7
176,2019-07-28,29,76.1,66.0,88.0,0.0,176.92857142857142,7.0,1012.8
177,2019-07-29,6,67.6,58.1,80.1,0.0,177.14285714285714,9.6,1013.9
178,2019-07-30,25,66.2,59.0,77.0,0.0,177.35714285714286,6.9,1014.1
179,2019-07-31,58,67.5,57.0,82.9,0.0,177.57142857142858,8.2,1013.9
180,2019-08-01,11,65.8,55.9,75.0,0.0,177.78571428571428,9.3,1015.45
181,2019-08-02,10,68.7,61.0,80.1,0.0,178.0,7.6,1017.0
182,2019-08-03,48,70.2,61.0,82.9,0.0,178.21428571428572,6.3,1014.0
183,2019-08-04,26,70.2,63.0,82.9,0.0,178.42857142857142,7.4,1014.4
184,2019-08-05,4,70.5,62.1,86.0,0.0,178.64285714285714,5.7,1014.3
185,2019-08-06,60,70.0,61.0,86.0,0.0,178.85714285714286,6.7,1012.7
186,2019-08-07,6,66.9,59.0,77.0,0.0,179.07142857142858,8.0,1013.9
