date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2019-06-06,63.9,55.0,73.9,0.0,329.5,8.1,1014.6
2019-06-07,62.8,52.0,73.9,0.0,329.6666666666667,8.8,1015.7
2019-06-08,70.3,55.0,84.0,0.0,329.8333333333333,8.6,1015.0
2019-06-09,77.2,60.1,91.9,0.0,330.0,3.7,1014.9
2019-06-10,83.3,69.1,100.0,0.0,330.1666666666667,5.0,1014.7
2019-06-11,84.0,66.9,99.0,0.0,330.3333333333333,6.0,1014.3
2019-06-12,80.4,68.0,93.9,0.0,330.5,6.5,1012.1
2019-06-13,72.30000000000001,62.5,84.45,0.0,330.6666666666667,7.6,1012.8
2019-06-14,64.2,57.0,75.0,0.0,330.8333333333333,7.4,1013.6
2019-06-15,61.7,55.9,69.1,0.0,331.0,7.8,1014.4
2019-06-16,62.6,57.0,72.0,0.0,331.1666666666667,6.9,1012.3499999999999
2019-06-17,66.4,55.0,81.0,0.0,331.3333333333333,8.9,1010.3
2019-06-18,68.0,57.9,79.0,0.0,331.5,9.0,1012.7
2019-06-19,66.4,57.9,79.0,0.0,331.6666666666667,9.1,1013.2
2019-06-20,66.9,60.1,77.0,0.0,331.8333333333333,10.2,1011.6
2019-06-21,66.4,57.0,79.0,0.0,332.0,8.9,1012.0
2019-06-22,71.2,57.0,88.0,0.0,332.1666666666667,7.7,1013.4
2019-06-23,73.9,60.1,89.1,0.0,332.3333333333333,6.1,1013.4
2019-06-24,70.2,59.0,84.0,0.0,332.5,7.1,1011.1
2019-06-25,68.2,57.0,81.0,0.0,332.6666666666667,8.1,1010.9
2019-06-26,64.8,57.9,73.0,0.0,332.8333333333333,9.3,1015.4
2019-06-27,64.0,55.9,73.0,0.0,333.0,11.1,1018.4
2019-06-28,65.5,60.1,75.9,0.0,325.8181818181818,6.8,1017.0
2019-06-29,64.2,53.1,75.9,0.0,318.6363636363636,6.3,1017.1
2019-06-30,64.6,57.0,75.0,0.0,311.45454545454544,7.8,1017.1
2019-07-01,65.3,55.9,75.9,0.0,304.27272727272725,7.15,1017.2
2019-07-02,65.7,57.0,75.0,0.0,297.0909090909091,6.5,1015.0
2019-07-03,65.1,55.9,78.1,0.0,289.9090909090909,8.0,1013.2
2019-07-04,64.9,55.9,77.0,0.0,282.72727272727275,7.6,1013.6
